distance,Right_lat_irreg,right vert irreg,left lat irreg,left vert irreg
108.6716,0.01153468,0.01133821,0.003703084,0.003028588
108.8525,0.01177406,0.01136691,0.002949555,0.001975198
109.0334,0.01187506,0.01119009,0.002125067,0.00083938
109.2143,0.01184293,0.01081472,0.001276148,-0.000354548
109.3951,0.01168391,0.01024932,0.00045001,-0.001581274
109.5759,0.01140639,0.00950724,-0.000309906,-0.002812993
109.7566,0.01102726,0.008621112,-0.000975958,-0.004012158
109.9371,0.01056555,0.007628401,-0.001524679,-0.005138887
110.1175,0.01004021,0.006567132,-0.001934488,-0.006153957
110.2979,0.009469683,0.005482366,-0.002205318,-0.007025056
